year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,imageUrl,imageName
1906,Peace,The Nobel Peace Prize 1906,NA,1/1,470,Individual,Theodore Roosevelt,1858-10-27,"New York, NY",United States of America,Male,NA,NA,NA,1919-01-06,"Oyster Bay, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/President_Roosevelt_-_Pach_Bros_%28cropped%29.jpg/300px-President_Roosevelt_-_Pach_Bros_%28cropped%29.jpg,President_Roosevelt_-_Pach_Bros_(cropped).jpg
1907,Chemistry,The Nobel Prize in Chemistry 1907,"""for his biochemical researches and his discovery of cell-free fermentation""",1/1,166,Individual,Eduard Buchner,1860-05-20,Munich,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1917-08-13,Focsani,Romania,https://upload.wikimedia.org/wikipedia/commons/d/d1/Eduard_Buchner_%28Nobel_1907%29.jpg,Eduard_Buchner_(Nobel_1907).jpg
1907,Literature,The Nobel Prize in Literature 1907,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",1/1,577,Individual,Rudyard Kipling,1865-12-30,Bombay,British India (India),Male,NA,NA,NA,1936-01-18,London,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Rudyard_Kipling_%28portrait%29.jpg/300px-Rudyard_Kipling_%28portrait%29.jpg,Rudyard_Kipling_(portrait).jpg
1907,Medicine,The Nobel Prize in Physiology or Medicine 1907,"""in recognition of his work on the role played by protozoa in causing diseases""",1/1,300,Individual,Charles Louis Alphonse Laveran,1845-06-18,Paris,France,Male,Institut Pasteur,Paris,France,1922-05-18,Paris,France,https://upload.wikimedia.org/wikipedia/commons/7/7f/Charles_Laveran_nobel.jpg,Charles_Laveran_nobel.jpg
1907,Peace,The Nobel Peace Prize 1907,NA,1/2,471,Individual,Ernesto Teodoro Moneta,1833-09-20,Milan,Austrian Empire (Italy),Male,NA,NA,NA,1918-02-10,Milan,Italy,https://upload.wikimedia.org/wikipedia/commons/7/7b/Ernesto_Teodoro_Moneta.jpg,Ernesto_Teodoro_Moneta.jpg
1908,Chemistry,The Nobel Prize in Chemistry 1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",1/1,167,Individual,Ernest Rutherford,1871-08-30,Nelson,New Zealand,Male,Victoria University,Manchester,United Kingdom,1937-10-19,Cambridge,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Sir_Ernest_Rutherford_LCCN2014716719_-_restoration1.jpg/300px-Sir_Ernest_Rutherford_LCCN2014716719_-_restoration1.jpg,Sir_Ernest_Rutherford_LCCN2014716719_-_restoration1.jpg
1908,Literature,The Nobel Prize in Literature 1908,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",1/1,578,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,East Friesland (Germany),Male,NA,NA,NA,1926-09-14,Jena,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Eucken-im-Alter.png/300px-Eucken-im-Alter.png,Eucken-im-Alter.png
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",1/2,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Male,Goettingen University,Göttingen,Germany,1915-08-20,Bad Homburg vor der Höhe,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Paul_Ehrlich_1915.jpg/300px-Paul_Ehrlich_1915.jpg,Paul_Ehrlich_1915.jpg
1908,Peace,The Nobel Peace Prize 1908,NA,1/2,473,Individual,Klas Pontus Arnoldson,1844-10-27,Gothenburg,Sweden,Male,NA,NA,NA,1916-02-20,Stockholm,Sweden,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/KP_Arnoldson_signed.jpg/300px-KP_Arnoldson_signed.jpg,KP_Arnoldson_signed.jpg
1908,Peace,The Nobel Peace Prize 1908,NA,1/2,474,Individual,Fredrik Bajer,1837-04-21,Næstved,Denmark,Male,NA,NA,NA,1922-01-22,Copenhagen,Denmark,https://upload.wikimedia.org/wikipedia/commons/e/e2/Frederik_Bajer_by_E._M%C3%B8ller.jpg,Frederik_Bajer_by_E._Møller.jpg
1908,Physics,The Nobel Prize in Physics 1908,"""for his method of reproducing colours photographically based on the phenomenon of interference""",1/1,12,Individual,Gabriel Lippmann,1845-08-16,Hollerich,Luxembourg,Male,Sorbonne University,Paris,France,1921-07-13,NA,NA,https://upload.wikimedia.org/wikipedia/commons/4/4b/Gabriel_Lippmann2.jpg,Gabriel_Lippmann2.jpg
1909,Chemistry,The Nobel Prize in Chemistry 1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",1/1,168,Individual,Wilhelm Ostwald,1853-09-02,Riga,Russian Empire (Latvia),Male,Leipzig University,Leipzig,Germany,1932-04-04,Leipzig,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Wilhelm_Ostwald_by_Nicola_Perscheid.jpg/300px-Wilhelm_Ostwald_by_Nicola_Perscheid.jpg,Wilhelm_Ostwald_by_Nicola_Perscheid.jpg
1909,Medicine,The Nobel Prize in Physiology or Medicine 1909,"""for his work on the physiology, pathology and surgery of the thyroid gland""",1/1,303,Individual,Emil Theodor Kocher,1841-08-25,Berne,Switzerland,Male,Berne University,Berne,Switzerland,1917-07-27,Berne,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Emil_Theodor_Kocher.jpg/300px-Emil_Theodor_Kocher.jpg,Emil_Theodor_Kocher.jpg
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",1/2,13,Individual,Guglielmo Marconi,1874-04-25,Bologna,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1937-07-20,Rome,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Guglielmo_Marconi.jpg/300px-Guglielmo_Marconi.jpg,Guglielmo_Marconi.jpg
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",1/2,14,Individual,Karl Ferdinand Braun,1850-06-06,Fulda,Hesse-Kassel (Germany),Male,Strasbourg University,Strasbourg,"Alsace (then Germany, now France)",1918-04-20,"Brooklyn, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Ferdinand_Braun.jpg/300px-Ferdinand_Braun.jpg,Ferdinand_Braun.jpg
1910,Chemistry,The Nobel Prize in Chemistry 1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",1/1,169,Individual,Otto Wallach,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Male,Goettingen University,Göttingen,Germany,1931-02-26,Göttingen,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Otto_Wallach_1880s.jpg/300px-Otto_Wallach_1880s.jpg,Otto_Wallach_1880s.jpg
1910,Medicine,The Nobel Prize in Physiology or Medicine 1910,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",1/1,304,Individual,Albrecht Kossel,1853-09-16,Rostock,Mecklenburg (Germany),Male,University of Heidelberg,Heidelberg,Germany,1927-07-05,Heidelberg,Germany,https://upload.wikimedia.org/wikipedia/commons/e/eb/Albrecht_Kossel_nobel.jpg,Albrecht_Kossel_nobel.jpg
1910,Physics,The Nobel Prize in Physics 1910,"""for his work on the equation of state for gases and liquids""",1/1,15,Individual,Johannes Diderik van der Waals,1837-11-23,Leiden,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1923-03-08,Amsterdam,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Johannes_Diderik_van_der_Waals.jpg/300px-Johannes_Diderik_van_der_Waals.jpg,Johannes_Diderik_van_der_Waals.jpg
1911,Medicine,The Nobel Prize in Physiology or Medicine 1911,"""for his work on the dioptrics of the eye""",1/1,305,Individual,Allvar Gullstrand,1862-06-05,Landskrona,Sweden,Male,Uppsala University,Uppsala,Sweden,1930-07-28,Stockholm,Sweden,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Allvar_Gullstrand.jpg/300px-Allvar_Gullstrand.jpg,Allvar_Gullstrand.jpg
1911,Peace,The Nobel Peace Prize 1911,NA,1/2,479,Individual,Alfred Hermann Fried,1864-11-11,Vienna,Austria,Male,NA,NA,NA,1921-05-05,Vienna,Austria,https://upload.wikimedia.org/wikipedia/commons/9/93/Alfred_Hermann_Fried_nobel.jpg,Alfred_Hermann_Fried_nobel.jpg
1911,Physics,The Nobel Prize in Physics 1911,"""for his discoveries regarding the laws governing the radiation of heat""",1/1,16,Individual,Wilhelm Wien,1864-01-13,Gaffken (Parusnoye),Prussia (Russia),Male,Würzburg University,Würzburg,Germany,1928-08-30,Munich,Germany,https://upload.wikimedia.org/wikipedia/commons/d/dd/Wilhelm_Wien_1911.jpg,Wilhelm_Wien_1911.jpg
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",1/2,172,Individual,Victor Grignard,1871-05-06,Cherbourg,France,Male,Nancy University,Nancy,France,1935-12-13,Lyon,France,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Viktor-grignard_%28cropped%29.jpg/300px-Viktor-grignard_%28cropped%29.jpg,Viktor-grignard_(cropped).jpg
1912,Medicine,The Nobel Prize in Physiology or Medicine 1912,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",1/1,306,Individual,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,1944-11-05,Paris,France,https://upload.wikimedia.org/wikipedia/commons/9/9e/Alexis_Carrel_02.jpg,Alexis_Carrel_02.jpg
1912,Peace,The Nobel Peace Prize 1912,NA,1/1,480,Individual,Elihu Root,1845-02-15,"Clinton, NY",United States of America,Male,NA,NA,NA,1937-02-07,"New York, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Elihu_Root%2C_bw_photo_portrait%2C_1902_%28cropped%29.jpg/300px-Elihu_Root%2C_bw_photo_portrait%2C_1902_%28cropped%29.jpg,"Elihu_Root,_bw_photo_portrait,_1902_(cropped).jpg"
1913,Chemistry,The Nobel Prize in Chemistry 1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",1/1,174,Individual,Alfred Werner,1866-12-12,Mulhouse,France,Male,University of Zurich,Zurich,Switzerland,1919-11-15,Zurich,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Alfred_Werner_ETH-Bib_Portr_09965.jpg/300px-Alfred_Werner_ETH-Bib_Portr_09965.jpg,Alfred_Werner_ETH-Bib_Portr_09965.jpg
1913,Literature,The Nobel Prize in Literature 1913,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",1/1,583,Individual,Rabindranath Tagore,1861-05-07,Calcutta,India,Male,NA,NA,NA,1941-08-07,Calcutta,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Rabindranath_Tagore.jpg/300px-Rabindranath_Tagore.jpg,Rabindranath_Tagore.jpg
1913,Peace,The Nobel Peace Prize 1913,NA,1/1,481,Individual,Henri La Fontaine,1854-04-22,Brussels,Belgium,Male,NA,NA,NA,1943-05-14,Brussels,Belgium,https://upload.wikimedia.org/wikipedia/commons/8/86/HenriLaFontaine.jpg,HenriLaFontaine.jpg
1913,Physics,The Nobel Prize in Physics 1913,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",1/1,18,Individual,Heike Kamerlingh Onnes,1853-09-21,Groningen,Netherlands,Male,Leiden University,Leiden,Netherlands,1926-02-21,Leiden,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Kamerlingh_portret.jpg/300px-Kamerlingh_portret.jpg,Kamerlingh_portret.jpg
1914,Chemistry,The Nobel Prize in Chemistry 1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",1/1,175,Individual,Theodore William Richards,1868-01-31,"Germantown, PA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1928-04-02,"Cambridge, MA",United States of America,https://upload.wikimedia.org/wikipedia/commons/6/6d/Theodore_william_richards.jpg,Theodore_william_richards.jpg
1914,Medicine,The Nobel Prize in Physiology or Medicine 1914,"""for his work on the physiology and pathology of the vestibular apparatus""",1/1,308,Individual,Robert Bárány,1876-04-22,Vienna,Austria,Male,Vienna University,Vienna,Austria,1936-04-08,Uppsala,Sweden,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Robert_Barany.jpg/300px-Robert_Barany.jpg,Robert_Barany.jpg
1914,Physics,The Nobel Prize in Physics 1914,"""for his discovery of the diffraction of X-rays by crystals""",1/1,19,Individual,Max von Laue,1879-10-09,Pfaffendorf,Germany,Male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1960-04-23,Berlin,West Germany (Germany),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Bundesarchiv_Bild_183-U0205-502%2C_Max_von_Laue.jpg/300px-Bundesarchiv_Bild_183-U0205-502%2C_Max_von_Laue.jpg,"Bundesarchiv_Bild_183-U0205-502,_Max_von_Laue.jpg"
1915,Literature,The Nobel Prize in Literature 1915,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",1/1,584,Individual,Romain Rolland,1866-01-29,Clamecy,France,Male,NA,NA,NA,1944-12-30,Vézelay,France,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Romain_Rolland_de_face_au_balcon%2C_Meurisse%2C_1914_retouche.jpg/300px-Romain_Rolland_de_face_au_balcon%2C_Meurisse%2C_1914_retouche.jpg,"Romain_Rolland_de_face_au_balcon,_Meurisse,_1914_retouche.jpg"
1917,Literature,The Nobel Prize in Literature 1917,"""for his varied and rich poetry, which is inspired by lofty ideals""",1/2,586,Individual,Karl Adolph Gjellerup,1857-06-02,Roholte,Denmark,Male,NA,NA,NA,1919-10-11,Klotzsche,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Karl_Gjellerup.jpg/300px-Karl_Gjellerup.jpg,Karl_Gjellerup.jpg
1917,Literature,The Nobel Prize in Literature 1917,"""for his authentic descriptions of present-day life in Denmark""",1/2,587,Individual,Henrik Pontoppidan,1857-07-24,Fredericia,Denmark,Male,NA,NA,NA,1943-08-21,Ordrup,Denmark,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Henrik_Pontoppidan_1913.jpg/300px-Henrik_Pontoppidan_1913.jpg,Henrik_Pontoppidan_1913.jpg
1917,Physics,The Nobel Prize in Physics 1917,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",1/1,22,Individual,Charles Glover Barkla,1877-06-07,Widnes,United Kingdom,Male,Edinburgh University,Edinburgh,United Kingdom,1944-10-23,Edinburgh,Scotland,https://upload.wikimedia.org/wikipedia/commons/8/81/Charles_Glover_Barkla.jpg,Charles_Glover_Barkla.jpg
1918,Chemistry,The Nobel Prize in Chemistry 1918,"""for the synthesis of ammonia from its elements""",1/1,177,Individual,Fritz Haber,1868-12-09,Breslau (Wroclaw),Prussia (Poland),Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1934-01-29,Basel,Switzerland,https://upload.wikimedia.org/wikipedia/commons/1/1e/Fritz_Haber.png,Fritz_Haber.png
1919,Medicine,The Nobel Prize in Physiology or Medicine 1919,"""for his discoveries relating to immunity""",1/1,309,Individual,Jules Bordet,1870-06-13,Soignies,Belgium,Male,Brussels University,Brussels,Belgium,1961-04-06,Brussels,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Jules_Bordet_signed.jpg/300px-Jules_Bordet_signed.jpg,Jules_Bordet_signed.jpg
1919,Physics,The Nobel Prize in Physics 1919,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",1/1,24,Individual,Johannes Stark,1874-04-15,Schickenhof,Germany,Male,Greifswald University,Greifswald,Germany,1957-06-21,Traunstein,West Germany (Germany),https://upload.wikimedia.org/wikipedia/commons/1/1d/Johannes_Stark.jpg,Johannes_Stark.jpg
1921,Chemistry,The Nobel Prize in Chemistry 1921,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",1/1,179,Individual,Frederick Soddy,1877-09-02,Eastbourne,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1956-09-22,Brighton,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/5/5c/Frederick_Soddy.jpg,Frederick_Soddy.jpg
1921,Literature,The Nobel Prize in Literature 1921,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",1/1,590,Individual,Anatole France,1844-04-16,Paris,France,Male,NA,NA,NA,1924-10-12,Saint-Cyr-sur-Loire,France,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Anatole_France_young_years.jpg/300px-Anatole_France_young_years.jpg,Anatole_France_young_years.jpg
1921,Peace,The Nobel Peace Prize 1921,NA,1/2,486,Individual,Christian Lous Lange,1869-09-17,Stavanger,Norway,Male,NA,NA,NA,1938-12-11,Oslo,Norway,https://upload.wikimedia.org/wikipedia/commons/c/c2/Christian_Lous_Lange.jpg,Christian_Lous_Lange.jpg
1921,Physics,The Nobel Prize in Physics 1921,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",1/1,26,Individual,Albert Einstein,1879-03-14,Ulm,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1955-04-18,"Princeton, NJ",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/300px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg,Einstein_1921_by_F_Schmutzer_-_restoration.jpg
1922,Chemistry,The Nobel Prize in Chemistry 1922,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",1/1,180,Individual,Francis William Aston,1877-09-01,Harborne,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1945-11-20,Cambridge,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/c/c6/Francis_William_Aston.jpg,Francis_William_Aston.jpg
1922,Literature,The Nobel Prize in Literature 1922,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",1/1,592,Individual,Jacinto Benavente,1866-08-12,Madrid,Spain,Male,NA,NA,NA,1954-07-14,Madrid,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Jacinto_Benavente_y_Martinez.jpg/300px-Jacinto_Benavente_y_Martinez.jpg,Jacinto_Benavente_y_Martinez.jpg
1922,Medicine,The Nobel Prize in Physiology or Medicine 1922,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",1/2,312,Individual,Otto Fritz Meyerhof,1884-04-12,Hanover,Germany,Male,Kiel University,Kiel,Germany,1951-10-06,"Philadelphia, PA",United States of America,https://upload.wikimedia.org/wikipedia/commons/0/05/Otto_Fritz_Meyerhof.jpg,Otto_Fritz_Meyerhof.jpg
1922,Peace,The Nobel Peace Prize 1922,NA,1/1,487,Individual,Fridtjof Nansen,1861-10-10,Kristiania (Oslo),Norway,Male,NA,NA,NA,1930-05-13,Oslo,Norway,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Fridtjof_Nansen_LOC_03377u-3.jpg/300px-Fridtjof_Nansen_LOC_03377u-3.jpg,Fridtjof_Nansen_LOC_03377u-3.jpg
